"","Player","Team","Type","M","Inn","B","Runs","Wkts","Econ","Avg","SR","X5W","X10W"
"769","Chris Morris","South-Africa","Test",4,8,623,459,12,4.42,38.25,51.92,0,0
"770","Quinton de Kock","South-Africa","Test",49,0,0,0,0,0,0,0,0,0
"771","Imran Tahir","South-Africa","Test",20,37,3925,2294,57,3.51,40.25,68.86,2,0
"772","Kagiso Rabada","South-Africa","Test",43,78,8011,4522,197,3.39,22.95,40.66,9,4
"773","Lungi Ngidi","South-Africa","Test",7,13,1063,566,22,3.19,25.73,48.32,1,0
"774","Tabraiz Shamsi","South-Africa","Test",2,4,483,278,6,3.45,46.33,80.5,0,0
"775","Beuran Hendricks","South-Africa","Test",1,2,231,175,6,4.55,29.17,38.5,1,0
"776","Craig Ervine","Zimbabwe","Test",18,0,0,0,0,0,0,0,0,0
"777","Hamilton Masakadza","Zimbabwe","Test",38,25,1164,489,16,2.52,30.56,72.75,0,0
"778","Sikandar Raza","Zimbabwe","Test",15,22,2429,1338,32,3.31,41.81,75.91,2,0
"779","Sean Williams","Zimbabwe","Test",12,18,1773,925,19,3.13,48.68,93.32,0,0
"780","Solomon Mire","Zimbabwe","Test",2,3,84,32,1,2.29,32,84,0,0
"781","Brian Chari","Zimbabwe","Test",7,2,18,12,0,4,0,0,0,0
"782","Timycen Maruma","Zimbabwe","Test",3,0,0,0,0,0,0,0,0,0
"783","Elton Chigumbura","Zimbabwe","Test",14,22,1806,966,21,3.21,46,86,1,0
"784","Regis Chakabva","Zimbabwe","Test",17,0,0,0,0,0,0,0,0,0
"785","Brendan Taylor","Zimbabwe","Test",31,4,42,38,0,5.43,0,0,0,0
"786","Peter Moor","Zimbabwe","Test",8,0,0,0,0,0,0,0,0,0
"787","Tendai Chatara","Zimbabwe","Test",8,14,1569,596,21,2.28,28.38,74.71,1,0
"788","Donald Tiripano","Zimbabwe","Test",10,16,1864,837,16,2.69,52.31,116.5,0,0
"789","Chris Mpofu","Zimbabwe","Test",15,23,2489,1392,29,3.36,48,85.83,0,0
"790","Kyle Jarvis","Zimbabwe","Test",13,22,2511,1354,46,3.24,29.43,54.59,3,0
"791","Brandon Mavuta","Zimbabwe","Test",2,4,336,237,4,4.23,59.25,84,0,0
"792","Martin Guptill","New-Zealand","Test",47,18,428,298,8,4.18,37.25,53.5,0,0
"793","Ross Taylor","New-Zealand","Test",105,7,96,48,2,3,24,48,0,0
"794","Kane Williamson","New-Zealand","Test",83,65,2133,1195,30,3.36,39.83,71.1,0,0
"795","Henry Nicholls","New-Zealand","Test",37,0,0,0,0,0,0,0,0,0
"796","James Neesham","New-Zealand","Test",12,21,1076,675,14,3.76,48.21,76.86,0,0
"797","Colin de Grandhomme","New-Zealand","Test",24,45,3683,1487,47,2.42,31.64,78.36,1,0
"798","Colin Munro","New-Zealand","Test",1,1,108,40,2,2.22,20,54,0,0
"799","Mitchell Santner","New-Zealand","Test",23,38,3899,1803,41,2.77,43.98,95.1,0,0
"800","Tom Latham","New-Zealand","Test",56,0,0,0,0,0,0,0,0,0
"801","Tom Blundell","New-Zealand","Test",10,1,18,13,0,4.33,0,0,0,0
"802","Trent Boult","New-Zealand","Test",71,135,15819,7875,281,2.99,28.02,56.3,8,1
"803","Matt Henry","New-Zealand","Test",13,25,2953,1598,31,3.25,51.55,95.26,0,0
"804","Tim Southee","New-Zealand","Test",77,144,17387,8670,302,2.99,28.71,57.57,11,1
"805","Ish Sodhi","New-Zealand","Test",17,31,3186,1992,41,3.75,48.59,77.71,0,0
"806","Lockie Ferguson","New-Zealand","Test",1,1,66,47,0,4.27,0,0,0,0
"807","Hashmatullah Shahidi","Afghanistan","Test",3,0,0,0,0,0,0,0,0,0
"808","Hazratullah Zazai","Afghanistan","Test",0,0,0,0,0,0,0,0,0,0
"809","Najibullah Zadran","Afghanistan","Test",0,0,0,0,0,0,0,0,0,0
"810","Noor Ali Zadran","Afghanistan","Test",0,0,0,0,0,0,0,0,0,0
"811","Rahmat Shah","Afghanistan","Test",4,0,0,0,0,0,0,0,0,0
"812","Samiullah Shinwari","Afghanistan","Test",0,0,0,0,0,0,0,0,0,0
"813","Gulbadin Naib","Afghanistan","Test",0,0,0,0,0,0,0,0,0,0
"814","Mohammad Nabi","Afghanistan","Test",3,5,546,254,8,2.79,31.75,68.25,0,0
"815","Mohammad Shahzad","Afghanistan","Test",2,0,0,0,0,0,0,0,0,0
"816","Aftab Alam","Afghanistan","Test",0,0,0,0,0,0,0,0,0,0
"817","Dawlat Zadran","Afghanistan","Test",0,0,0,0,0,0,0,0,0,0
"818","Hamid Hassan","Afghanistan","Test",0,0,0,0,0,0,0,0,0,0
"819","Rashid Khan","Afghanistan","Test",4,7,938,485,23,3.1,21.09,40.78,3,1
"820","Mujeeb Ur Rahman","Afghanistan","Test",1,1,90,75,1,5,75,90,0,0
