"","Player","Team","Type","M","Inn","B","Runs","Wkts","Econ","Avg","SR","X5W","X10W"
"515","Mehidy Hasan","Bangladesh","T20",13,13,216,330,4,9.17,82.5,54,0,0
"516","Mushfiqur Rahim","Bangladesh","T20",86,0,0,0,0,0,0,0,0,0
"517","Liton Das","Bangladesh","T20",29,0,0,0,0,0,0,0,0,0
"518","Mohammad Mithun","Bangladesh","T20",15,0,0,0,0,0,0,0,0,0
"519","Mashrafe Mortaza","Bangladesh","T20",54,53,1139,1528,42,8.05,36.38,27.12,0,0
"520","Rubel Hossain","Bangladesh","T20",27,26,567,879,28,9.3,31.39,20.25,0,0
"521","Mustafizur Rahman","Bangladesh","T20",41,41,901,1191,58,7.93,20.53,15.53,1,0
"522","Abu Jayed","Bangladesh","T20",3,3,66,106,4,9.64,26.5,16.5,0,0
"523","Eoin Morgan","England","T20",97,0,0,0,0,0,0,0,0,0
"524","Joe Root","England","T20",32,9,84,139,6,9.93,23.17,14,0,0
"525","Jason Roy","England","T20",38,0,0,0,0,0,0,0,0,0
"526","Liam Livingstone","England","T20",2,0,0,0,0,0,0,0,0,0
"527","Dawid Malan","England","T20",19,1,12,27,1,13.5,27,12,0,0
"528","Moeen Ali","England","T20",34,30,440,630,17,8.59,37.06,25.88,0,0
"529","Ben Stokes","England","T20",29,23,418,611,16,8.77,38.19,26.12,0,0
"530","Chris Woakes","England","T20",8,8,162,253,7,9.37,36.14,23.14,0,0
"531","Tom Curran","England","T20",27,26,528,812,26,9.23,31.23,20.31,0,0
"532","Lewis Gregory","England","T20",8,4,66,92,1,8.36,92,66,0,0
"533","Sam Curran","England","T20",8,8,162,240,9,8.89,26.67,18,0,0
"534","Jonny Bairstow","England","T20",46,0,0,0,0,0,0,0,0,0
"535","Jos Buttler","England","T20",74,0,0,0,0,0,0,0,0,0
"536","Sam Billings","England","T20",30,0,0,0,0,0,0,0,0,0
"537","Adil Rashid","England","T20",52,49,1050,1316,51,7.52,25.8,20.59,0,0
"538","Mark Wood","England","T20",11,11,237,365,18,9.24,20.28,13.17,0,0
"539","Jofra Archer","England","T20",7,7,162,216,7,8,30.86,23.14,0,0
"540","Olly Stone","England","T20",0,0,0,0,0,0,0,0,0,0
"541","Reece Topley","England","T20",6,6,103,173,5,10.08,34.6,20.6,0,0
"542","Chris Jordan","England","T20",55,54,1152,1670,66,8.7,25.3,17.45,0,0
"543","Darren Bravo","West-Indies","T20",20,0,0,0,0,0,0,0,0,0
"544","Chris Gayle","West-Indies","T20",58,23,319,377,17,7.09,22.18,18.76,0,0
"545","Evin Lewis","West-Indies","T20",32,0,0,0,0,0,0,0,0,0
"546","Shimron Hetmyer","West-Indies","T20",27,0,0,0,0,0,0,0,0,0
"547","Fabian Allen","West-Indies","T20",16,13,240,305,12,7.62,25.42,20,0,0
"548","Jason Holder","West-Indies","T20",17,17,373,524,13,8.43,40.31,28.69,0,0
"549","Andre Russell","West-Indies","T20",49,42,643,974,26,9.09,37.46,24.73,0,0
"550","Carlos Brathwaite","West-Indies","T20",41,39,709,1013,31,8.57,32.68,22.87,0,0
"551","Shai Hope","West-Indies","T20",13,0,0,0,0,0,0,0,0,0
"552","Nicholas Pooran","West-Indies","T20",24,0,0,0,0,0,0,0,0,0
"553","Shannon Gabriel","West-Indies","T20",2,2,42,56,3,8,18.67,14,0,0
"554","Kemar Roach","West-Indies","T20",11,11,234,284,10,7.28,28.4,23.4,0,0
"555","Ashley Nurse","West-Indies","T20",13,13,240,317,8,7.92,39.62,30,0,0
"556","Oshane Thomas","West-Indies","T20",15,14,306,445,18,8.73,24.72,17,1,0
"557","Faf du Plessis","South-Africa","T20",50,2,8,3,0,2.25,0,0,0,0
"558","David Miller","South-Africa","T20",78,0,0,0,0,0,0,0,0,0
"559","Aiden Markram","South-Africa","T20",2,0,0,0,0,0,0,0,0,0
"560","Rassie van der Dussen","South-Africa","T20",18,0,0,0,0,0,0,0,0,0
"561","Jean-Paul Duminy","South-Africa","T20",81,41,463,599,21,7.76,28.52,22.05,0,0
"562","Andile Phehlukwayo","South-Africa","T20",27,26,510,698,35,8.21,19.94,14.57,0,0
